,ID,num_facts,model,dataset,note_type,prompt
0,0,24,llama3,coral,pdac,PROMPT1_ICL
1,1,23,llama3,coral,pdac,PROMPT1_ICL
2,2,28,llama3,coral,pdac,PROMPT1_ICL
3,3,22,llama3,coral,pdac,PROMPT1_ICL
4,4,29,llama3,coral,pdac,PROMPT1_ICL
5,5,17,llama3,coral,pdac,PROMPT1_ICL
6,6,18,llama3,coral,pdac,PROMPT1_ICL
7,7,23,llama3,coral,pdac,PROMPT1_ICL
8,8,19,llama3,coral,pdac,PROMPT1_ICL
9,9,21,llama3,coral,pdac,PROMPT1_ICL
10,10,39,llama3,coral,pdac,PROMPT1_ICL
11,11,29,llama3,coral,pdac,PROMPT1_ICL
12,12,28,llama3,coral,pdac,PROMPT1_ICL
13,13,24,llama3,coral,pdac,PROMPT1_ICL
14,14,20,llama3,coral,pdac,PROMPT1_ICL
15,15,19,llama3,coral,pdac,PROMPT1_ICL
16,16,42,llama3,coral,pdac,PROMPT1_ICL
17,17,19,llama3,coral,pdac,PROMPT1_ICL
18,18,20,llama3,coral,pdac,PROMPT1_ICL
19,19,38,llama3,coral,pdac,PROMPT1_ICL
20,20,35,llama3,coral,pdac,PROMPT1_ICL
21,21,19,llama3,coral,pdac,PROMPT1_ICL
22,22,32,llama3,coral,pdac,PROMPT1_ICL
23,23,22,llama3,coral,pdac,PROMPT1_ICL
24,24,21,llama3,coral,pdac,PROMPT1_ICL
25,25,23,llama3,coral,pdac,PROMPT1_ICL
26,26,24,llama3,coral,pdac,PROMPT1_ICL
27,27,23,llama3,coral,pdac,PROMPT1_ICL
28,28,14,llama3,coral,pdac,PROMPT1_ICL
29,29,35,llama3,coral,pdac,PROMPT1_ICL
30,30,31,llama3,coral,pdac,PROMPT1_ICL
31,31,39,llama3,coral,pdac,PROMPT1_ICL
32,32,33,llama3,coral,pdac,PROMPT1_ICL
33,33,27,llama3,coral,pdac,PROMPT1_ICL
34,34,19,llama3,coral,pdac,PROMPT1_ICL
35,35,19,llama3,coral,pdac,PROMPT1_ICL
36,36,41,llama3,coral,pdac,PROMPT1_ICL
37,37,30,llama3,coral,pdac,PROMPT1_ICL
38,38,27,llama3,coral,pdac,PROMPT1_ICL
39,39,21,llama3,coral,pdac,PROMPT1_ICL
40,40,20,llama3,coral,pdac,PROMPT1_ICL
41,41,21,llama3,coral,pdac,PROMPT1_ICL
42,42,25,llama3,coral,pdac,PROMPT1_ICL
43,43,29,llama3,coral,pdac,PROMPT1_ICL
44,44,23,llama3,coral,pdac,PROMPT1_ICL
45,45,30,llama3,coral,pdac,PROMPT1_ICL
46,46,31,llama3,coral,pdac,PROMPT1_ICL
47,47,39,llama3,coral,pdac,PROMPT1_ICL
48,48,23,llama3,coral,pdac,PROMPT1_ICL
49,49,25,llama3,coral,pdac,PROMPT1_ICL
50,50,21,llama3,coral,pdac,PROMPT1_ICL
51,51,26,llama3,coral,pdac,PROMPT1_ICL
52,52,24,llama3,coral,pdac,PROMPT1_ICL
53,53,21,llama3,coral,pdac,PROMPT1_ICL
54,54,12,llama3,coral,pdac,PROMPT1_ICL
55,55,25,llama3,coral,pdac,PROMPT1_ICL
56,56,21,llama3,coral,pdac,PROMPT1_ICL
57,57,40,llama3,coral,pdac,PROMPT1_ICL
58,58,29,llama3,coral,pdac,PROMPT1_ICL
59,59,30,llama3,coral,pdac,PROMPT1_ICL
60,60,36,llama3,coral,pdac,PROMPT1_ICL
61,61,20,llama3,coral,pdac,PROMPT1_ICL
62,62,22,llama3,coral,pdac,PROMPT1_ICL
63,63,20,llama3,coral,pdac,PROMPT1_ICL
64,64,25,llama3,coral,pdac,PROMPT1_ICL
65,65,33,llama3,coral,pdac,PROMPT1_ICL
66,66,22,llama3,coral,pdac,PROMPT1_ICL
67,67,12,llama3,coral,pdac,PROMPT1_ICL
68,68,25,llama3,coral,pdac,PROMPT1_ICL
69,69,24,llama3,coral,pdac,PROMPT1_ICL
70,70,23,llama3,coral,pdac,PROMPT1_ICL
71,71,34,llama3,coral,pdac,PROMPT1_ICL
72,72,29,llama3,coral,pdac,PROMPT1_ICL
73,73,114,llama3,coral,pdac,PROMPT1_ICL
74,74,28,llama3,coral,pdac,PROMPT1_ICL
75,75,28,llama3,coral,pdac,PROMPT1_ICL
76,76,18,llama3,coral,pdac,PROMPT1_ICL
77,77,28,llama3,coral,pdac,PROMPT1_ICL
78,78,27,llama3,coral,pdac,PROMPT1_ICL
79,79,22,llama3,coral,pdac,PROMPT1_ICL
80,80,21,llama3,coral,pdac,PROMPT1_ICL
81,81,21,llama3,coral,pdac,PROMPT1_ICL
82,82,22,llama3,coral,pdac,PROMPT1_ICL
83,83,37,llama3,coral,pdac,PROMPT1_ICL
84,84,24,llama3,coral,pdac,PROMPT1_ICL
85,85,37,llama3,coral,pdac,PROMPT1_ICL
86,86,21,llama3,coral,pdac,PROMPT1_ICL
87,87,26,llama3,coral,pdac,PROMPT1_ICL
88,88,23,llama3,coral,pdac,PROMPT1_ICL
89,89,23,llama3,coral,pdac,PROMPT1_ICL
90,90,26,llama3,coral,pdac,PROMPT1_ICL
91,91,23,llama3,coral,pdac,PROMPT1_ICL
92,92,28,llama3,coral,pdac,PROMPT1_ICL
93,93,23,llama3,coral,pdac,PROMPT1_ICL
94,94,21,llama3,coral,pdac,PROMPT1_ICL
95,95,24,llama3,coral,pdac,PROMPT1_ICL
96,96,18,llama3,coral,pdac,PROMPT1_ICL
97,97,20,llama3,coral,pdac,PROMPT1_ICL
98,98,24,llama3,coral,pdac,PROMPT1_ICL
99,99,25,llama3,coral,pdac,PROMPT1_ICL
100,100,28,llama3,coral,pdac,PROMPT1_ICL
101,101,30,llama3,coral,pdac,PROMPT1_ICL
102,102,30,llama3,coral,pdac,PROMPT1_ICL
103,103,19,llama3,coral,pdac,PROMPT1_ICL
104,104,20,llama3,coral,pdac,PROMPT1_ICL
105,105,43,llama3,coral,pdac,PROMPT1_ICL
106,106,21,llama3,coral,pdac,PROMPT1_ICL
107,107,19,llama3,coral,pdac,PROMPT1_ICL
108,108,25,llama3,coral,pdac,PROMPT1_ICL
109,109,36,llama3,coral,pdac,PROMPT1_ICL
110,110,15,llama3,coral,pdac,PROMPT1_ICL
111,111,18,llama3,coral,pdac,PROMPT1_ICL
112,112,21,llama3,coral,pdac,PROMPT1_ICL
113,113,24,llama3,coral,pdac,PROMPT1_ICL
114,114,22,llama3,coral,pdac,PROMPT1_ICL
115,115,21,llama3,coral,pdac,PROMPT1_ICL
116,116,14,llama3,coral,pdac,PROMPT1_ICL
117,117,20,llama3,coral,pdac,PROMPT1_ICL
118,118,17,llama3,coral,pdac,PROMPT1_ICL
119,119,27,llama3,coral,pdac,PROMPT1_ICL
120,120,25,llama3,coral,pdac,PROMPT1_ICL
121,121,33,llama3,coral,pdac,PROMPT1_ICL
122,122,57,llama3,coral,pdac,PROMPT1_ICL
123,123,25,llama3,coral,pdac,PROMPT1_ICL
124,124,12,llama3,coral,pdac,PROMPT1_ICL
125,125,19,llama3,coral,pdac,PROMPT1_ICL
126,126,25,llama3,coral,pdac,PROMPT1_ICL
127,127,46,llama3,coral,pdac,PROMPT1_ICL
128,128,64,llama3,coral,pdac,PROMPT1_ICL
129,129,23,llama3,coral,pdac,PROMPT1_ICL
130,130,28,llama3,coral,pdac,PROMPT1_ICL
131,131,22,llama3,coral,pdac,PROMPT1_ICL
132,132,18,llama3,coral,pdac,PROMPT1_ICL
133,133,23,llama3,coral,pdac,PROMPT1_ICL
134,134,23,llama3,coral,pdac,PROMPT1_ICL
135,135,26,llama3,coral,pdac,PROMPT1_ICL
136,136,29,llama3,coral,pdac,PROMPT1_ICL
137,137,21,llama3,coral,pdac,PROMPT1_ICL
138,138,34,llama3,coral,pdac,PROMPT1_ICL
139,139,25,llama3,coral,pdac,PROMPT1_ICL
140,140,18,llama3,coral,pdac,PROMPT1_ICL
141,141,24,llama3,coral,pdac,PROMPT1_ICL
142,142,25,llama3,coral,pdac,PROMPT1_ICL
143,143,22,llama3,coral,pdac,PROMPT1_ICL
144,144,25,llama3,coral,pdac,PROMPT1_ICL
145,145,20,llama3,coral,pdac,PROMPT1_ICL
146,146,21,llama3,coral,pdac,PROMPT1_ICL
147,147,22,llama3,coral,pdac,PROMPT1_ICL
148,148,403,llama3,coral,pdac,PROMPT1_ICL
149,149,22,llama3,coral,pdac,PROMPT1_ICL
150,150,15,llama3,coral,pdac,PROMPT1_ICL
151,151,24,llama3,coral,pdac,PROMPT1_ICL
152,152,19,llama3,coral,pdac,PROMPT1_ICL
153,153,46,llama3,coral,pdac,PROMPT1_ICL
154,154,28,llama3,coral,pdac,PROMPT1_ICL
155,155,45,llama3,coral,pdac,PROMPT1_ICL
156,156,24,llama3,coral,pdac,PROMPT1_ICL
157,157,23,llama3,coral,pdac,PROMPT1_ICL
158,158,18,llama3,coral,pdac,PROMPT1_ICL
159,159,22,llama3,coral,pdac,PROMPT1_ICL
160,160,19,llama3,coral,pdac,PROMPT1_ICL
161,161,23,llama3,coral,pdac,PROMPT1_ICL
162,162,20,llama3,coral,pdac,PROMPT1_ICL
163,163,27,llama3,coral,pdac,PROMPT1_ICL
164,164,41,llama3,coral,pdac,PROMPT1_ICL
165,165,30,llama3,coral,pdac,PROMPT1_ICL
166,166,31,llama3,coral,pdac,PROMPT1_ICL
167,167,21,llama3,coral,pdac,PROMPT1_ICL
168,168,17,llama3,coral,pdac,PROMPT1_ICL
169,169,20,llama3,coral,pdac,PROMPT1_ICL
170,170,31,llama3,coral,pdac,PROMPT1_ICL
171,171,34,llama3,coral,pdac,PROMPT1_ICL
172,172,29,llama3,coral,pdac,PROMPT1_ICL
173,173,33,llama3,coral,pdac,PROMPT1_ICL
174,174,24,llama3,coral,pdac,PROMPT1_ICL
