,ID,total_sentences_precision,count_ones_precision,count_zeros_precision,precision,total_sentences_recall,count_ones_recall,count_zeros_recall,recall,f1,model,dataset,note_type,prompt
0,0,15,14,1,0.9333333333333332,9,9,0,1.0,0.9655172413793104,llama3,coral,pdac,PROMPT1_entailment
1,1,13,12,1,0.9230769230769232,9,9,0,1.0,0.96,llama3,coral,pdac,PROMPT1_entailment
2,10,21,20,1,0.9523809523809524,11,9,2,0.8181818181818182,0.880195599022005,llama3,coral,pdac,PROMPT1_entailment
3,100,21,15,6,0.7142857142857143,11,10,1,0.9090909090909092,0.8,llama3,coral,pdac,PROMPT1_entailment
4,101,23,19,4,0.8260869565217391,11,10,1,0.9090909090909092,0.8656036446469249,llama3,coral,pdac,PROMPT1_entailment
5,102,24,23,1,0.9583333333333334,27,21,6,0.7777777777777778,0.8586666666666668,llama3,coral,pdac,PROMPT1_entailment
6,103,11,8,3,0.7272727272727273,15,12,3,0.8,0.761904761904762,llama3,coral,pdac,PROMPT1_entailment
7,104,18,16,2,0.8888888888888888,12,10,2,0.8333333333333334,0.8602150537634408,llama3,coral,pdac,PROMPT1_entailment
8,105,30,22,8,0.7333333333333333,33,16,17,0.4848484848484848,0.583747927031509,llama3,coral,pdac,PROMPT1_entailment
9,106,15,13,2,0.8666666666666667,10,10,0,1.0,0.9285714285714286,llama3,coral,pdac,PROMPT1_entailment
10,107,11,11,0,1.0,10,10,0,1.0,1.0,llama3,coral,pdac,PROMPT1_entailment
11,108,17,17,0,1.0,10,10,0,1.0,1.0,llama3,coral,pdac,PROMPT1_entailment
12,109,26,22,4,0.8461538461538461,34,27,7,0.7941176470588235,0.8193103448275861,llama3,coral,pdac,PROMPT1_entailment
13,11,19,15,4,0.7894736842105263,10,9,1,0.9,0.8411214953271027,llama3,coral,pdac,PROMPT1_entailment
14,110,9,9,0,1.0,4,4,0,1.0,1.0,llama3,coral,pdac,PROMPT1_entailment
15,111,12,12,0,1.0,3,3,0,1.0,1.0,llama3,coral,pdac,PROMPT1_entailment
16,112,11,10,1,0.9090909090909092,9,7,2,0.7777777777777778,0.8383233532934132,llama3,coral,pdac,PROMPT1_entailment
17,113,17,11,6,0.6470588235294118,6,4,2,0.6666666666666666,0.6567164179104478,llama3,coral,pdac,PROMPT1_entailment
18,114,13,13,0,1.0,9,9,0,1.0,1.0,llama3,coral,pdac,PROMPT1_entailment
19,115,11,10,1,0.9090909090909092,7,6,1,0.8571428571428571,0.8823529411764706,llama3,coral,pdac,PROMPT1_entailment
20,116,8,7,1,0.875,2,2,0,1.0,0.9333333333333332,llama3,coral,pdac,PROMPT1_entailment
21,117,15,15,0,1.0,8,7,1,0.875,0.9333333333333332,llama3,coral,pdac,PROMPT1_entailment
22,118,15,14,1,0.9333333333333332,9,8,1,0.8888888888888888,0.9105691056910568,llama3,coral,pdac,PROMPT1_entailment
23,119,17,13,4,0.7647058823529411,12,10,2,0.8333333333333334,0.7975460122699386,llama3,coral,pdac,PROMPT1_entailment
24,12,22,22,0,1.0,10,10,0,1.0,1.0,llama3,coral,pdac,PROMPT1_entailment
25,120,17,14,3,0.8235294117647058,13,10,3,0.7692307692307693,0.7954545454545454,llama3,coral,pdac,PROMPT1_entailment
26,121,26,22,4,0.8461538461538461,12,12,0,1.0,0.9166666666666666,llama3,coral,pdac,PROMPT1_entailment
27,122,48,33,15,0.6875,45,35,10,0.7777777777777778,0.7298578199052133,llama3,coral,pdac,PROMPT1_entailment
28,123,12,10,2,0.8333333333333334,10,8,2,0.8,0.816326530612245,llama3,coral,pdac,PROMPT1_entailment
29,124,6,6,0,1.0,3,3,0,1.0,1.0,llama3,coral,pdac,PROMPT1_entailment
30,125,15,12,3,0.8,8,7,1,0.875,0.8358208955223881,llama3,coral,pdac,PROMPT1_entailment
31,126,13,12,1,0.9230769230769232,10,8,2,0.8,0.8571428571428571,llama3,coral,pdac,PROMPT1_entailment
32,127,28,23,5,0.8214285714285714,30,20,10,0.6666666666666666,0.7359999999999999,llama3,coral,pdac,PROMPT1_entailment
33,128,23,18,5,0.782608695652174,35,31,4,0.8857142857142857,0.830975428145942,llama3,coral,pdac,PROMPT1_entailment
34,129,15,12,3,0.8,11,10,1,0.9090909090909092,0.8510638297872342,llama3,coral,pdac,PROMPT1_entailment
35,13,17,15,2,0.8823529411764706,13,9,4,0.6923076923076923,0.7758620689655172,llama3,coral,pdac,PROMPT1_entailment
36,130,22,17,5,0.7727272727272727,12,9,3,0.75,0.7611940298507464,llama3,coral,pdac,PROMPT1_entailment
37,131,14,11,3,0.7857142857142857,12,10,2,0.8333333333333334,0.8088235294117647,llama3,coral,pdac,PROMPT1_entailment
38,132,10,10,0,1.0,10,8,2,0.8,0.888888888888889,llama3,coral,pdac,PROMPT1_entailment
39,133,13,12,1,0.9230769230769232,7,7,0,1.0,0.96,llama3,coral,pdac,PROMPT1_entailment
40,134,15,11,4,0.7333333333333333,15,12,3,0.8,0.7652173913043478,llama3,coral,pdac,PROMPT1_entailment
41,135,13,12,1,0.9230769230769232,9,9,0,1.0,0.96,llama3,coral,pdac,PROMPT1_entailment
42,136,16,13,3,0.8125,7,3,4,0.4285714285714285,0.5611510791366906,llama3,coral,pdac,PROMPT1_entailment
43,137,17,14,3,0.8235294117647058,10,6,4,0.6,0.6942148760330579,llama3,coral,pdac,PROMPT1_entailment
44,138,31,22,9,0.7096774193548387,25,15,10,0.6,0.6502463054187193,llama3,coral,pdac,PROMPT1_entailment
